hand_repr,total,dealer_upcard,bet,soft,is_pair,remaining_cards,low_density,ten_density,ace_density,ev_hit,ev_stand,ev_double,ev_split,best_move,ev_gap,hit_se,stand_se,double_se,split_se,fixed_strategy_move
"7,9",16,10,1,False,False,30,0.6666666666666666,0.0,0.0,-0.2030723158828749,-0.6137655062024809,-0.3962084635046862,,Hit,0.1931361476218113,0.004997801416551166,0.00499416187132128,0.0049997838989170275,,Hit
"7,9",16,10,1,False,False,31,0.6451612903225806,0.03225806451612903,0.0,-0.23052837573385518,-0.5903485254691689,-0.4583957373271889,,Hit,0.22786736159333373,0.004999972137083569,0.004995166635426588,0.004999617619393541,,Hit
"7,9",16,10,1,False,False,32,0.625,0.0625,0.0,-0.2614850396983306,-0.566507528461256,-0.5221337230544392,,Hit,0.2606486833561086,0.004998530110611534,0.004993823655702082,0.004999366651269115,,Hit
"7,9",16,10,1,False,False,33,0.6060606060606061,0.09090909090909091,0.0,-0.29094411776009843,-0.5604507451835696,-0.5805714285714285,,Hit,0.2695066274234712,0.004994001559980291,0.004993252306999073,0.004999260162597748,,Hit
"7,9",16,10,1,False,False,34,0.5882352941176471,0.11764705882352941,0.0,-0.31433916423712344,-0.549,-0.618812401471361,,Hit,0.2346608357628766,0.00499628568109712,0.0049949939224902245,0.004999455890936323,,Hit
"7,9",16,10,1,False,False,35,0.5714285714285714,0.14285714285714285,0.0,-0.3387991718426501,-0.5340551868669228,-0.6871320696563415,,Hit,0.19525601502427264,0.004994820341304968,0.004996628473411956,0.0049988427016776785,,Hit
"7,9",16,10,1,False,False,36,0.5555555555555556,0.16666666666666666,0.0,-0.3634750065217828,-0.5331010452961672,-0.7234454240461886,,Hit,0.16962603877438442,0.004997317767753467,0.004994084568725938,0.004998968236296156,,Hit
"7,9",16,10,1,False,False,37,0.5405405405405406,0.1891891891891892,0.0,-0.389042465471037,-0.5148979591836734,-0.7621055969557634,,Hit,0.12585549371263643,0.004994674567816072,0.004999592131760568,0.004999766039742633,,Hit
"7,9",16,10,1,False,False,38,0.5263157894736842,0.21052631578947367,0.0,-0.40112482683042827,-0.5204522096608427,-0.8048212263387802,,Hit,0.11932738283041444,0.004994070493325316,0.004997873811238562,0.004998685308721454,,Hit
"7,9",16,10,1,False,False,39,0.5128205128205128,0.23076923076923078,0.0,-0.42964996125032284,-0.5219093406593407,-0.8437401997194025,,Hit,0.09225937940901785,0.004993634755650326,0.004998662733714925,0.004998999737372625,,Hit
"7,9",16,10,1,False,False,40,0.5,0.25,0.0,-0.4357668619498273,-0.5074957983193278,-0.8824648539439347,,Hit,0.0717289363695005,0.004993878888409575,0.004995621661799421,0.004998726877861666,,Hit
