hand_repr,total,dealer_upcard,bet,soft,is_pair,remaining_cards,low_density,ten_density,ace_density,ev_hit,ev_stand,ev_double,ev_split,best_move,ev_gap,hit_se,stand_se,double_se,split_se,fixed_strategy_move
"10,6",16,9,1,False,False,30,0.6333333333333333,0.0,0.0,-0.1787165532879819,-0.5768137621540763,-0.36451612903225805,,Hit,0.18579957574427616,0.0049958160640421155,0.0049954574870050665,0.0049992923677500845,,Hit
"10,6",16,9,1,False,False,31,0.6129032258064516,0.03225806451612903,0.0,-0.20659081814543998,-0.5518305814788227,-0.41764747339488334,,Hit,0.21105665524944336,0.004997921019850094,0.0049963483052230225,0.004998901710816473,,Hit
"10,6",16,9,1,False,False,32,0.59375,0.0625,0.0,-0.21946012447532204,-0.5286407766990291,-0.46874821785001425,,Hit,0.2492880933746922,0.004993899790445662,0.004998401024532486,0.004999873119612022,,Hit
"10,6",16,9,1,False,False,33,0.5757575757575758,0.09090909090909091,0.0,-0.25159212621218696,-0.5140821174075331,-0.5126152073732719,,Hit,0.26102308116108497,0.00499671974159442,0.004996502259994404,0.0049993494802281924,,Hit
"10,6",16,9,1,False,False,34,0.5588235294117647,0.11764705882352941,0.0,-0.2733638910109498,-0.5100979398851739,-0.556530612244898,,Hit,0.2367340488742241,0.004995136472812149,0.00499848032199574,0.0049990944097172245,,Hit
"10,6",16,9,1,False,False,35,0.5428571428571428,0.14285714285714285,0.0,-0.3027744070601214,-0.505700871898055,-0.6029148479692239,,Hit,0.20292646483793364,0.0049962619389174135,0.004995862232091385,0.004999844718400413,,Hit
"10,6",16,9,1,False,False,36,0.5277777777777778,0.16666666666666666,0.0,-0.3155984555984556,-0.49576719576719575,-0.647113580061557,,Hit,0.18016874016874013,0.004996537072853088,0.004994093361695234,0.004999452842120647,,Hit
"10,6",16,9,1,False,False,37,0.5135135135135136,0.1891891891891892,0.0,-0.3396485569704721,-0.5020694259012016,-0.6781013042159539,,Hit,0.16242086893072955,0.004997178776984327,0.004996414908220497,0.004999852786809652,,Hit
"10,6",16,9,1,False,False,38,0.5,0.21052631578947367,0.0,-0.3534069826277618,-0.4928406466512702,-0.7207616991750829,,Hit,0.13943366402350837,0.004997732520333147,0.004997881758525225,0.0049988758480313525,,Hit
"10,6",16,9,1,False,False,39,0.48717948717948717,0.23076923076923078,0.0,-0.37427887356059747,-0.4783284742468416,-0.7486899563318777,,Hit,0.10404960068624414,0.004996705038857824,0.004998224079572402,0.0049997770763434085,,Hit
"10,6",16,9,1,False,False,40,0.47500000000000003,0.25,0.0,-0.3909754377941653,-0.4773109243697479,-0.7883615549725733,,Hit,0.0863354865755826,0.004995925149919546,0.004995713357936358,0.0049989992050191116,,Hit
"10,6",16,9,1,False,False,41,0.4634146341463415,0.2682926829268293,0.0,-0.41262379595712934,-0.4851912389669827,-0.8145352112676056,,Hit,0.07256744300985335,0.0049938831973422556,0.004999475165752333,0.004999278269969777,,Hit
"10,6",16,9,1,False,False,42,0.45238095238095233,0.2857142857142857,0.0,-0.43839790988859306,-0.48998357963875205,-0.8440278346295538,,Hit,0.05158566975015899,0.0049965728341214545,0.004995617428023511,0.004999858286782048,,Hit
"10,6",16,9,1,False,False,43,0.4418604651162791,0.3023255813953488,0.0,-0.43879528555608294,-0.4931045859452326,-0.8868852459016393,,Hit,0.05430930038914966,0.004996190532683769,0.004997022760320919,0.004999785900946021,,Hit
"10,6",16,9,1,False,False,44,0.4318181818181818,0.3181818181818182,0.0,-0.45177971188475385,-0.49170506912442397,-0.9048463356973995,,Hit,0.03992535723967011,0.00499669184283727,0.004995805103343275,0.0049997916856612395,,Hit
"10,6",16,9,1,False,False,45,0.4222222222222222,0.3333333333333333,0.0,-0.4651781906792568,-0.49956709956709955,-0.935727171205223,,Hit,0.03438890888784274,0.0049946066593749535,0.004998943321676811,0.004999844353295577,,Hit
"10,6",16,9,1,False,False,31,0.6129032258064516,0.0,0.03225806451612903,-0.19992313309504595,-0.590195327460743,-0.3970066676124273,,Hit,0.19708353451738136,0.004996068965217414,0.0049958599307298925,0.004998810077788145,,Hit
"10,6",16,9,1,False,False,32,0.59375,0.03125,0.03125,-0.21242878103622403,-0.5661402864487698,-0.4401397903145282,,Hit,0.22771100927830418,0.004998446278885987,0.00499535287553067,0.004999343716718794,,Hit
"10,6",16,9,1,False,False,33,0.5757575757575758,0.06060606060606061,0.030303030303030304,-0.2388636234438065,-0.5544733044733045,-0.4897238047162328,,Hit,0.25086018127242626,0.004994864806631175,0.004998410117452653,0.004999816079617955,,Hit
"10,6",16,9,1,False,False,34,0.5588235294117647,0.08823529411764706,0.029411764705882353,-0.26512275301181926,-0.5386347642505278,-0.530137684854666,,Hit,0.2650149318428467,0.004998555166228614,0.004997791879558971,0.004998983595866384,,Hit
"10,6",16,9,1,False,False,35,0.5428571428571428,0.11428571428571428,0.02857142857142857,-0.292453591606134,-0.5233516483516484,-0.5741573862379231,,Hit,0.2308980567455144,0.004998468372887272,0.004993481506994992,0.00499939970760959,,Hit
"10,6",16,9,1,False,False,36,0.5277777777777778,0.1388888888888889,0.027777777777777776,-0.3080470041123794,-0.5199040767386092,-0.6154718388660947,,Hit,0.21185707262622977,0.004996368931751929,0.004999827852434174,0.004999343557265577,,Hit
"10,6",16,9,1,False,False,37,0.5135135135135136,0.16216216216216217,0.02702702702702703,-0.32387276037175433,-0.5144214455378351,-0.6539246052730981,,Hit,0.19054868516608076,0.004993651067749938,0.004995317034573451,0.00499930860647045,,Hit
"10,6",16,9,1,False,False,38,0.5,0.18421052631578946,0.02631578947368421,-0.3473566569484937,-0.5091644204851752,-0.6962001995854763,,Hit,0.16180776353668147,0.004999250447385592,0.004995792005936264,0.004999658194159841,,Hit
"10,6",16,9,1,False,False,39,0.48717948717948717,0.20512820512820512,0.02564102564102564,-0.35371048704382035,-0.508355795148248,-0.7345244597019583,,Hit,0.15464530810442767,0.004998298452109109,0.004998565783315703,0.004999465544573183,,Hit
"10,6",16,9,1,False,False,40,0.47500000000000003,0.225,0.025,-0.3772598953125918,-0.5066890756302521,-0.765812371460212,,Hit,0.12942918031766032,0.004996026542376714,0.004998373451860873,0.004999851274811242,,Hit
"10,6",16,9,1,False,False,41,0.4634146341463415,0.24390243902439024,0.024390243902439025,-0.3872162236987819,-0.5074285714285715,-0.7844619925021935,,Hit,0.12021234772978956,0.004995473543469961,0.004995851202774912,0.0049997761029424905,,Hit
"10,6",16,9,1,False,False,42,0.45238095238095233,0.2619047619047619,0.023809523809523808,-0.4108632833664439,-0.49996669996669996,-0.8311111111111111,,Hit,0.08910341660025606,0.004998358969289428,0.004997612813165563,0.004999541665944796,,Hit
"10,6",16,9,1,False,False,43,0.4418604651162791,0.27906976744186046,0.023255813953488372,-0.4247365214742613,-0.5071596638655462,-0.8536517085220255,,Hit,0.08242314239128495,0.004998729607593741,0.004996768957205275,0.0049992965178895215,,Hit
"10,6",16,9,1,False,False,44,0.4318181818181818,0.29545454545454547,0.022727272727272728,-0.4315010528020733,-0.4971163407358303,-0.8842739909562888,,Hit,0.06561528793375698,0.004995493206154255,0.004995441554053801,0.004999076121187605,,Hit
"10,6",16,9,1,False,False,45,0.4222222222222222,0.3111111111111111,0.022222222222222223,-0.45844723210385074,-0.5077647058823529,-0.9134338529687367,,Hit,0.04931747377850215,0.004997528036855274,0.00499470308825649,0.004998606613214636,,Hit
"10,6",16,9,1,False,False,46,0.41304347826086957,0.32608695652173914,0.021739130434782608,-0.4753158406219631,-0.5014018691588785,-0.9450990615224192,,Hit,0.02608602853691544,0.0049991773534963395,0.004998651906395147,0.004998972786160791,,Hit
"10,6",16,9,1,False,False,32,0.59375,0.0,0.0625,-0.2031099574332657,-0.6015655577299412,-0.4205106138841079,,Hit,0.21740065645084217,0.0049945552208309875,0.004997529251587448,0.004999707347025163,,Hit
"10,6",16,9,1,False,False,33,0.5757575757575758,0.030303030303030304,0.06060606060606061,-0.22467074038917892,-0.5900421294523172,-0.47635942364781697,,Hit,0.251688683258638,0.0049934956562552885,0.004996552949936156,0.004999606844567437,,Hit
"10,6",16,9,1,False,False,34,0.5588235294117647,0.058823529411764705,0.058823529411764705,-0.24303854875283445,-0.5730654761904762,-0.5238241758241758,,Hit,0.28078562707134136,0.004993281941817384,0.004998496648988301,0.004999824354038759,,Hit
"10,6",16,9,1,False,False,35,0.5428571428571428,0.08571428571428572,0.05714285714285714,-0.27640566430653896,-0.5579405366207396,-0.5529758831772255,,Hit,0.2765702188706865,0.004993482362178431,0.0049971070586487185,0.004999122950791672,,Hit
"10,6",16,9,1,False,False,36,0.5277777777777778,0.1111111111111111,0.05555555555555555,-0.2809573247903813,-0.5566726943942134,-0.5969216975493126,,Hit,0.2757153696038321,0.0049951744336847355,0.0049958952819133436,0.004999475730358643,,Hit
"10,6",16,9,1,False,False,37,0.5135135135135136,0.13513513513513514,0.05405405405405406,-0.3092761666069937,-0.5321254355400696,-0.6376306620209059,,Hit,0.22284926893307594,0.00499996514791768,0.004997708606837769,0.004999955482020577,,Hit
"10,6",16,9,1,False,False,38,0.5,0.15789473684210525,0.05263157894736842,-0.32950477810171686,-0.5277066758906953,-0.6791350356567748,,Hit,0.19820189778897845,0.00499979373159792,0.004995763214374623,0.004999285668239228,,Hit
"10,6",16,9,1,False,False,39,0.48717948717948717,0.1794871794871795,0.05128205128205128,-0.3440496316869944,-0.5164625850340137,-0.7038848475468193,,Hit,0.17241295334701928,0.004995967919661168,0.004994099914341045,0.004998971255023922,,Hit
"10,6",16,9,1,False,False,40,0.47500000000000003,0.2,0.05,-0.3578696954972465,-0.5152380952380953,-0.7452984722003465,,Hit,0.15736839974084876,0.0049990900683602015,0.004998400101908186,0.004998836581725489,,Hit
"10,6",16,9,1,False,False,41,0.4634146341463415,0.21951219512195122,0.04878048780487805,-0.38980308991066304,-0.5101078167115903,-0.7739969689718433,,Hit,0.1203047268009273,0.004995495705433433,0.00499254840738259,0.004999398776907784,,Hit
"10,6",16,9,1,False,False,42,0.45238095238095233,0.23809523809523808,0.047619047619047616,-0.40347993300663737,-0.517217865666553,-0.8060439560439561,,Hit,0.11373793265991566,0.004994534539901721,0.004997393386138878,0.004999731257896583,,Hit
"10,6",16,9,1,False,False,43,0.4418604651162791,0.2558139534883721,0.046511627906976744,-0.41269668961809647,-0.5216855087358685,-0.8404433497536946,,Hit,0.10898881911777203,0.004999126843538367,0.004993466886261805,0.004998504526256156,,Hit
"10,6",16,9,1,False,False,44,0.4318181818181818,0.2727272727272727,0.045454545454545456,-0.42692234788652306,-0.5012016021361816,-0.8761848936526545,,Hit,0.07427925424965853,0.004998920008739146,0.004999322230485161,0.00499969748927212,,Hit
"10,6",16,9,1,False,False,45,0.4222222222222222,0.28888888888888886,0.044444444444444446,-0.44667387204102826,-0.4979401993355482,-0.885193583606282,,Hit,0.05126632729451991,0.0049959212133200755,0.004998523230040213,0.0049993438107231395,,Hit
"10,6",16,9,1,False,False,46,0.41304347826086957,0.30434782608695654,0.043478260869565216,-0.452875212585034,-0.5192071086807929,-0.9288383707913546,,Hit,0.0663318960957589,0.004993811743257785,0.004996321197206043,0.004999610681008714,,Hit
"10,6",16,9,1,False,False,47,0.40425531914893614,0.3191489361702128,0.0425531914893617,-0.48019579626722486,-0.5209318259677972,-0.9431525895029544,,Hit,0.04073602970057233,0.004991803740876999,0.004996161708299668,0.004999387916381804,,Hit
"10,6",16,9,1,False,False,33,0.5757575757575758,0.0,0.09090909090909091,-0.21708133870832283,-0.6158551307847082,-0.4594752186588921,,Hit,0.2423938799505693,0.00499468583770396,0.004997876643244864,0.00499978049807473,,Hit
"10,6",16,9,1,False,False,34,0.5588235294117647,0.029411764705882353,0.08823529411764706,-0.237231334251492,-0.5868952380952381,-0.49725415537819434,,Hit,0.26002282112670233,0.004998827339266081,0.0049973477899158195,0.0049999107178455935,,Hit
"10,6",16,9,1,False,False,35,0.5428571428571428,0.05714285714285714,0.08571428571428572,-0.26186419521937215,-0.5958188153310104,-0.5425159471888444,,Hit,0.2806517519694723,0.004993446765514376,0.004997095320811761,0.0049998706472595975,,Hit
"10,6",16,9,1,False,False,36,0.5277777777777778,0.08333333333333333,0.08333333333333333,-0.2748850610580624,-0.5778777652793401,-0.5807277628032345,,Hit,0.3029927042212777,0.0049988727101979834,0.004997401981181888,0.004999936951244799,,Hit
"10,6",16,9,1,False,False,37,0.5135135135135136,0.10810810810810811,0.08108108108108109,-0.30425479282622137,-0.5607142857142857,-0.6242456326098464,,Hit,0.25645949288806436,0.004996560094700245,0.004998540201607023,0.004999136007936251,,Hit
"10,6",16,9,1,False,False,38,0.5,0.13157894736842105,0.07894736842105263,-0.309011531441845,-0.5490714285714285,-0.6593489084641899,,Hit,0.24005989712958353,0.004995307123852108,0.004994713513615208,0.004999378028783146,,Hit
"10,6",16,9,1,False,False,39,0.48717948717948717,0.15384615384615385,0.07692307692307693,-0.339291974458495,-0.5505907626208378,-0.6946602693081566,,Hit,0.21129878816234282,0.004997705229376966,0.004994984280233339,0.004999037539070842,,Hit
"10,6",16,9,1,False,False,40,0.47500000000000003,0.175,0.075,-0.35744310069706897,-0.5274991352473193,-0.7314663310258024,,Hit,0.1700560345502503,0.004998851776401891,0.004996521316037429,0.004999838944569565,,Hit
"10,6",16,9,1,False,False,41,0.4634146341463415,0.1951219512195122,0.07317073170731707,-0.3704092163181062,-0.5356442577030812,-0.7546852703345489,,Hit,0.16523504138497502,0.004995790868324921,0.004996795994407208,0.004999387133838331,,Hit
"10,6",16,9,1,False,False,42,0.45238095238095233,0.21428571428571427,0.07142857142857142,-0.39106717687074827,-0.5380717804363124,-0.7855133049280488,,Hit,0.14700460356556416,0.004999094194452736,0.004999925260166578,0.004999312895312684,,Hit
"10,6",16,9,1,False,False,43,0.4418604651162791,0.23255813953488372,0.06976744186046512,-0.4087002096436059,-0.5253968253968254,-0.8276862552249815,,Hit,0.11669661575321949,0.004998690765878581,0.004998130001804594,0.00499877909789926,,Hit
"10,6",16,9,1,False,False,44,0.4318181818181818,0.25,0.06818181818181818,-0.42297915991793544,-0.5315679442508711,-0.8465424430641822,,Hit,0.10858878433293562,0.0049967312462470435,0.004999775328209759,0.00499994766271905,,Hit
"10,6",16,9,1,False,False,45,0.4222222222222222,0.26666666666666666,0.06666666666666667,-0.4390498134737766,-0.5292649098474341,-0.8821913190054783,,Hit,0.09021509637365754,0.004993276418022447,0.004996110328946698,0.004999841647414218,,Hit
"10,6",16,9,1,False,False,46,0.41304347826086957,0.2826086956521739,0.06521739130434782,-0.43598726114649683,-0.5292649098474341,-0.9027685492801771,,Hit,0.0932776487009373,0.004997585037493674,0.004996110328946698,0.00499949126452431,,Hit
"10,6",16,9,1,False,False,47,0.40425531914893614,0.2978723404255319,0.06382978723404255,-0.45933324469853093,-0.5296809986130374,-0.9239475500345066,,Hit,0.07034775391450648,0.00499289108086188,0.004994581112485003,0.004999474289157885,,Hit
"10,6",16,9,1,False,False,48,0.3958333333333333,0.3125,0.0625,-0.4762440057990409,-0.5210688591983555,-0.9532403753398229,,Hit,0.044824853399314635,0.00499593622440913,0.004995672138519309,0.004998997466103672,,Hit
"10,6",16,9,1,False,False,34,0.5588235294117647,0.0,0.11764705882352941,-0.22038751602877568,-0.6393594605983987,-0.49359656906240756,,Hit,0.27320905303363185,0.004994203664690127,0.004991435902637225,0.004999825116568579,,Hit
"10,6",16,9,1,False,False,35,0.5428571428571428,0.02857142857142857,0.11428571428571428,-0.25400905585164,-0.6186968838526912,-0.5220185528756958,,Hit,0.26800949702405574,0.004996653303827659,0.00499783103871071,0.004998684168182658,,Hit
"10,6",16,9,1,False,False,36,0.5277777777777778,0.05555555555555555,0.1111111111111111,-0.26586113810603607,-0.603375196232339,-0.5744812030075188,,Hit,0.30862006490148275,0.004996984020039438,0.004995831749898726,0.004999305674008382,,Hit
"10,6",16,9,1,False,False,37,0.5135135135135136,0.08108108108108109,0.10810810810810811,-0.282477054313789,-0.5853343465045593,-0.6092508340915984,,Hit,0.3028572921907703,0.004999372455356056,0.004997657896751897,0.00499916941560157,,Hit
"10,6",16,9,1,False,False,38,0.5,0.10526315789473684,0.10526315789473684,-0.31032253156853795,-0.5732886904761905,-0.6503848522167488,,Hit,0.2629661589076525,0.0049972488022317135,0.004997544327667097,0.004999784468381669,,Hit
"10,6",16,9,1,False,False,39,0.48717948717948717,0.1282051282051282,0.10256410256410256,-0.32010747872816836,-0.568041237113402,-0.6632146709816613,,Hit,0.24793375838523368,0.004994579400749475,0.004993844343848187,0.004999457169467064,,Hit
"10,6",16,9,1,False,False,40,0.47500000000000003,0.15,0.1,-0.33620834409713246,-0.5570343580470163,-0.7153229608675153,,Hit,0.22082601394988383,0.004991020184484869,0.004994437136757781,0.0049999322644327686,,Hit
"10,6",16,9,1,False,False,41,0.4634146341463415,0.17073170731707318,0.0975609756097561,-0.35207968901846454,-0.5518305814788227,-0.7319727891156462,,Hit,0.19975089246035815,0.004992425261959017,0.0049963483052230225,0.004999923388218963,,Hit
