hand_repr,total,dealer_upcard,bet,soft,is_pair,remaining_cards,low_density,ten_density,ace_density,ev_hit,ev_stand,ev_double,ev_split,best_move,ev_gap,hit_se,stand_se,double_se,split_se,fixed_strategy_move
"5,6",11,6,1,False,False,29,0.5862068965517241,0.0,0.0,0.09527696793002915,-0.47595345830639946,-0.22874991418960663,,Hit,0.3240268821196358,0.004950810622866668,0.004999897560444403,0.004998905960008593,,Double
"5,6",11,6,1,False,False,30,0.5666666666666667,0.03333333333333333,0.0,0.1295616980969603,-0.4321966205837174,-0.10300609343263371,,Hit,0.232567791529594,0.004984043307352252,0.004998328695039608,0.004999846964141217,,Double
"5,6",11,6,1,False,False,31,0.5483870967741935,0.06451612903225806,0.0,0.1454429499072356,-0.3910456553755523,0.023863636363636365,,Hit,0.12157931354359924,0.004983991029184095,0.004995088295651252,0.00499986808925966,,Double
"5,6",11,6,1,False,False,32,0.53125,0.09375,0.0,0.16368866695614417,-0.3476853166714002,0.12700818840089328,,Hit,0.03668047855525089,0.004989111293988794,0.004996775218445641,0.0049995099031067275,,Double
"5,6",11,6,1,False,False,33,0.5151515151515151,0.12121212121212122,0.0,0.19368747498999603,-0.30711527854384996,0.21234231162632117,,Double,0.01865483663632514,0.004983549531429095,0.004997738610743505,0.0049997586589802835,,Double
"5,6",11,6,1,False,False,34,0.5,0.14705882352941177,0.0,0.23093602825745685,-0.2838131450298751,0.3018555563219977,,Double,0.07091952806454083,0.004972631409107708,0.004997147743519927,0.0049997300991459735,,Double
"5,6",11,6,1,False,False,35,0.4857142857142857,0.17142857142857143,0.0,0.2523618793311717,-0.24248539564524696,0.3752082312591867,,Double,0.12284635192801496,0.004978937555635792,0.0049992055473432545,0.004998758728105757,,Double
"5,6",11,6,1,False,False,36,0.4722222222222222,0.19444444444444445,0.0,0.2655473098330241,-0.22688766114180478,0.4538417757541264,,Double,0.18829446592110227,0.004992248118665512,0.0049954517309080985,0.00499976051313459,,Double
"5,6",11,6,1,False,False,37,0.4594594594594595,0.21621621621621623,0.0,0.3012512147716229,-0.19423376623376623,0.5276500036276572,,Double,0.22639878885603432,0.004992823636526947,0.004999410988825147,0.004999022931327906,,Double
"5,6",11,6,1,False,False,38,0.4473684210526315,0.23684210526315788,0.0,0.3193250984604368,-0.16188766350346243,0.5761363636363637,,Double,0.2568112651759269,0.004980710145847742,0.004997543342124116,0.0049992521630400875,,Double
"5,6",11,6,1,False,False,39,0.4358974358974359,0.2564102564102564,0.0,0.33911564625850343,-0.13934300993124524,0.6318663958474385,,Double,0.2927507495889351,0.004994887269495411,0.004997028721385891,0.004999340046922605,,Double
